new SMILES,ID,endpoint,MW
CN=NO,1,1,60.03
OCCI,2,1,171.94
C=C(F)F,3,1,64.01
Cl[C@@H]1CO1,4,1,77.99
C[C@H]1CN1,5,1,57.06
IC(I)I,6,1,393.72
C[C@H]1CO1,7,1,58.04
C/C=N\O,8,1,59.04
Br/C=C/Br,9,1,183.85
C/C=C/Cl,10,1,76.01
C#CCBr,11,1,117.94
N=NCO,12,1,60.03
C=C(Cl)Cl,13,1,95.95
FC(F)Cl,14,1,85.97
CC1CN1,15,1,57.06
CC1CO1,16,1,58.04
[Cr+6],17,1,99.93
O=NO,18,1,69.99
[O-][S+](Cl)Cl,19,1,117.9
O=NO,20,1,85.96
[N-]=[N+]=[N-],21,1,65.0
ClC(Cl)Br,22,1,161.86
CNN=O,23,1,60.03
Br/C=C\Br,24,1,183.85
C/C=C\Cl,25,1,76.01
[Al+3],26,1,131.89
OCCBr,27,1,123.95
OCCCl,28,1,80.0
CCOO,29,1,62.04
C=CCCl,30,1,76.01
NCCN,31,1,60.07
C=CCBr,32,1,119.96
C=CC=C,33,1,54.05
CN(C)N,34,1,60.07
CC(C)Br,35,1,121.97
CC(C)Cl,36,1,78.02
O=CCCl,37,1,77.99
BrCCBr,38,1,185.87
CSCCl,39,1,95.98
ClCCCl,40,1,97.97
C1COC1,41,1,58.04
C#CCO,42,1,56.03
NCCCl,43,1,79.02
C=CC=O,44,1,56.03
C=CC#N,45,1,53.03
O=CC=O,46,1,58.01
ClCCBr,47,1,141.92
C[C@@H](O)CBr,48,1,137.97
O=C(O)CI,49,1,185.92
FC[C@H]1CO1,50,1,76.03
C[C@@H](O)CCl,51,1,94.02
CN=NNC,52,1,73.06
CCN=NO,53,1,74.05
C=C(Cl)C=O,54,1,89.99
NNCCO,55,1,76.06
N#C[C@@H](Cl)Br,56,1,152.9
OC[C@H]1CO1,57,1,74.04
BrC[C@H]1CO1,58,1,135.95
OCC(Cl)Cl,59,1,113.96
C[C@@H](O)CN,60,1,75.07
C[C@@H](Cl)CCl,61,1,111.98
C=C[C@H]1CO1,62,1,70.04
CC[C@H]1CO1,63,1,72.06
c1cscn1,64,1,85.0
O=C[C@H]1CO1,65,1,72.02
C=C(Br)CCl,66,1,153.92
C[C@@H](Br)CBr,67,1,199.88
CN(C)N=O,68,1,74.05
CC(Cl)(Cl)Cl,69,1,131.93
CCC(C)Br,70,1,135.99
CC(C)C#N,71,1,69.06
CCC1CO1,72,1,72.06
ClCC1CO1,73,1,92.0
C/C=C/C=O,74,1,70.04
CC(O)CCl,75,1,94.02
OCC1CO1,76,1,74.04
O=C(Br)CBr,77,1,199.85
CC1OC1C,78,1,72.06
[O-][Br+2]([O-])O,79,1,166.87
ClCOCCl,80,1,113.96
FCC1CO1,81,1,76.03
O=CCC=O,82,1,72.02
CC1(C)CO1,83,1,72.06
O=CC1CO1,84,1,72.02
C=CC1CO1,85,1,70.04
BrCC1CO1,86,1,135.95
C/N=N/NC,87,1,73.06
[Pt+4],88,1,296.94
[Cr+6],89,1,117.94
CC(O)CBr,90,1,137.97
ClC[C@@H]1CO1,91,1,92.0
N#CC(Cl)Br,92,1,152.9
[V+5],93,1,115.97
CC(Cl)=C=O,94,1,89.99
OC/C=C\Cl,95,1,92.0
OC/C=C/Cl,96,1,92.0
[Ti+4],97,1,187.82
[Pt+2],98,1,338.87
[Pt+2],99,1,386.85
C[C@@H]1O[C@H]1C,100,1,72.06
CNN=O,101,1,99.0
C1CSCN1,102,1,89.03
C=C(Br)C=O,103,1,133.94
OCCCCl,104,1,94.02
ClC(Cl)(Cl)Br,105,1,195.82
C=C(C)C=O,106,1,70.04
CN=[N+](C)[O-],107,1,74.05
NC(=O)NO,108,1,76.03
CCCCBr,109,1,135.99
CC(=O)NN,110,1,74.05
C[C@@H]1O[C@@H]1C,111,1,72.06
C/C=C\C=O,112,1,70.04
O=[N+]([O-])CCl,113,1,94.98
N#CC(Cl)Cl,114,1,108.95
CC(=O)NO,115,1,75.03
O=CC(=O)O,116,1,74.0
C=C(Br)CBr,117,1,197.87
COCC=O,118,1,74.04
ClC[C@H]1CO1,119,1,92.0
O=C(O)CBr,120,1,137.93
OCCCBr,121,1,137.97
CCCOO,122,1,76.05
Cl/C=C\CCl,123,1,109.97
C=CC(C)=O,124,1,70.04
O=C1CCO1,125,1,72.02
ClCCCBr,126,1,155.93
CC(C)(C)Br,127,1,135.99
CC(Cl)CO,128,1,94.02
N#CC(Br)Br,129,1,196.85
CC(=O)C=O,130,1,72.02
N=NCO,131,1,99.0
OC[C@@H]1CO1,132,1,74.04
CNC(=O)ON,133,1,90.04
CC/C(C)=N\O,134,1,87.07
O=C(CO)CO,135,1,90.03
CCC12OC1O2,136,1,86.04
OC[C@H](Cl)CCl,137,1,127.98
C/C(Cl)=C\C=O,138,1,104.0
COS(=O)(=O)F,139,1,113.98
OCC(Cl)(Cl)Cl,140,1,147.92
CO[PH](=O)OC,141,1,110.01
C1CSCCS1,142,1,120.01
O=CC(Cl)(Cl)Cl,143,1,145.91
BrCC(Br)(Br)Br,144,1,341.69
NC(N)=S(=O)=O,145,1,108.0
CN(C#N)N=O,146,1,85.03
C=C[Si](C)(Cl)Cl,147,1,139.96
C1O[C@H]1[C@H]1CO1,148,1,86.04
ClC[C@H](Br)CBr,149,1,233.84
N#CNC(=N)N,150,1,84.04
N#CC(Cl)(Cl)Cl,151,1,142.91
BrCC(Br)CBr,152,1,277.79
C[C@H]1CC(=O)O1,153,1,86.04
OCCN1CC1,154,1,87.07
COC[C@H]1CO1,155,1,88.05
ClCC(Br)CCl,156,1,189.9
O=C(O)[C@@H](Cl)Br,157,1,171.89
[N-]=[N+]=NCCO,158,1,87.04
BrC/C=C\CBr,159,1,211.88
CCN(C)N=O,160,1,88.06
CC(C)=[N+]([O-])[O-],161,1,88.04
ClSC(Cl)(Cl)Cl,162,1,183.85
ClC[C@H](Cl)CBr,163,1,189.9
N=NCCCO,164,1,88.06
COCCOC,165,1,90.07
ClC(CBr)CBr,166,1,233.84
OC[C@H](O)CI,167,1,201.95
OC[C@H](Br)CBr,168,1,215.88
C=CCN=C=S,169,1,99.01
OC[C@H](O)CCl,170,1,110.01
